# Samples Generated by Stan
# stan_version_major=1
# stan_version_minor=3
# stan_version_patch=0
# init=random
# append_samples=0
# seed=1405435606
# chain_id=2
# chain_id_src=user
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# equal_step_sizes=0
# epsilon_pm=0
# delta=0.5
# gamma=0.05
# nondiag_mass=0
# sample_file=./rstan_doc_ex_2.csv
#
lp__,accept_stat__,stepsize__,treedepth__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-21.4342,6.85747e-49,1.19033,0,0.718701,1.46263,-0.318014,-0.359727,1.00797,-2.35084,0.902838,-0.515681,0.05273
-21.4342,0.00817959,1.19033,1,0.718701,1.46263,-0.318014,-0.359727,1.00797,-2.35084,0.902838,-0.515681,0.05273
-20.8549,1,1.19033,1,-0.115121,1.11383,0.222867,0.216756,-3.01003,1.99444,-0.412373,0.560932,1.32878
-19.9991,0.112719,1.19033,1,-0.0902966,1.29376,0.132542,0.362749,0.582463,2.36545,-0.29246,-0.678058,0.00957611
-18.8342,0.5,1.19033,0,0.0298471,1.21246,-1.22068,0.621478,0.587113,0.825994,-1.42848,-1.33619,0.0202173
-21.5579,0.5,1.19033,0,-0.11246,1.3694,-1.67515,-0.200583,0.0107899,-0.425927,-2.6097,0.693645,0.0191181
-18.9177,1,1.19033,1,-0.0615654,1.31066,-1.58672,0.562046,-1.9117,0.512842,-0.299047,-0.964576,0.0553457
-17.5645,1,1.19033,1,-0.0913616,1.39698,0.49684,0.235767,-1.70689,0.63566,-0.267555,-0.0725403,0.0435596
-17.5645,0.356199,1.19033,0,-0.0913616,1.39698,0.49684,0.235767,-1.70689,0.63566,-0.267555,-0.0725403,0.0435596
-20.8878,0.447469,1.19033,0,0.197923,1.00892,0.585451,-0.215913,-2.95682,1.00482,-0.961722,-1.293,0.0540577
-20.1553,0.00294315,1.19033,1,-0.257664,1.12795,0.597004,0.953495,3.03806,-0.516348,0.625391,1.00129,0.700296
-18.798,0.512444,1.19033,1,0.502638,1.18378,-1.29449,-1.60271,-0.334393,-0.0988384,-1.08448,-0.599533,0.0406589
-20.5083,8.26177e-25,1.19033,2,-0.579853,1.2857,1.03069,1.05065,-2.32301,0.113568,-0.014542,0.197791,0.164955
-20.5083,0.501118,1.19033,2,-0.579853,1.2857,1.03069,1.05065,-2.32301,0.113568,-0.014542,0.197791,0.164955
-19.2138,0.994208,1.19033,1,0.285662,1.34997,-0.513008,-1.2572,2.31282,0.124705,0.933976,1.42068,0.912565
-20.6548,0.71882,1.19033,1,-0.175051,0.903772,-0.680834,-1.37353,-2.29879,0.102576,-1.42866,-0.856766,0.103731
-16.7452,0.639274,1.19033,1,0.430308,0.996553,0.442234,-0.934157,1.63075,0.930345,0.155971,0.563872,0.676157
-18.2056,0.704572,1.19033,2,-0.160231,1.29838,-2.42447,0.670595,1.2076,-0.0215575,0.14084,-0.869978,0.563462
-18.2056,0.576502,1.19033,1,-0.160231,1.29838,-2.42447,0.670595,1.2076,-0.0215575,0.14084,-0.869978,0.563462
